,Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
71,71,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,335,0.0,0,0,0.0,18772.0,0.0,0.0,2019-04-12T19:00:00Z,12 Apr 20:00,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,34,0,2060,0.0,0.0,0.0,1,0,0.0,0,-10,0,10,47,False,0.0,0,,,,,,3
72,72,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,348,0.0,0,0,0.0,19491.0,0.0,0.0,2019-04-20T16:30:00Z,20 Apr 17:30,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,35,0,2052,0.0,0.0,0.0,1,3,0.0,0,-8,1,9,47,True,0.0,0,,,,,,3
73,73,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,351,0.0,0,0,0.0,20257.0,0.0,0.0,2019-04-27T16:30:00Z,27 Apr 17:30,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,36,0,2039,0.0,0.0,0.0,1,1,0.0,0,-13,0,13,47,False,0.0,0,,,,,,3
74,74,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,368,0.0,0,0,0.0,20872.0,0.0,0.0,2019-05-04T18:45:00Z,04 May 19:45,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,37,0,2033,0.0,0.0,0.0,3,2,0.0,0,-7,0,7,47,True,0.0,0,,,,,,3
75,75,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,374,0.0,0,0,0.0,21488.0,0.0,0.0,2019-05-12T14:00:00Z,12 May 15:00,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,38,0,2021,0.0,0.0,0.0,4,0,0.0,0,-12,2,14,47,False,0.0,0,,,,,,3
76,76,0,,,,0,0,0,,,0.0,,,483,,,10,,0,0,0.0,,0.0,,2019-08-11T13:00:00Z,,,,0,,,1,0,,0,0,,0,1,0,1504,,,,1,0,0.0,0,0,0,0,50,True,,0,,,,,,3
77,77,0,,,,0,0,0,,,0.0,,,483,,,17,,0,0,0.0,,0.0,,2019-08-17T14:00:00Z,,,,0,,,14,0,,0,0,,0,2,0,1026,,,,1,3,0.0,0,-509,17,526,50,False,,0,,,,,,3
78,78,0,,,,0,0,0,,,0.0,,,483,,,28,,0,0,0.0,,0.0,,2019-08-25T15:30:00Z,,,,0,,,17,0,,0,0,,0,3,0,884,,,,1,0,0.0,0,-193,50,243,49,False,,0,,,,,,3
79,79,0,,,,0,0,0,,,0.0,,,483,,,38,,0,0,0.0,,0.0,,2019-08-31T14:00:00Z,,,,0,,,18,0,,0,0,,0,4,0,768,,,,1,1,0.0,0,-124,12,136,49,True,,0,,,,,,3
80,80,0,,,,0,0,0,,,0.0,,,483,,,44,,0,0,0.0,,0.0,,2019-09-14T11:30:00Z,,,,0,,,10,0,,0,0,,0,5,0,690,,,,1,3,0.0,0,-91,12,103,49,False,,0,,,,,,3
81,81,0,,,,0,0,0,,,0.0,,,483,,,58,,0,0,0.0,,0.0,,2019-09-21T16:30:00Z,,,,0,,,4,0,,0,0,,0,6,0,645,,,,0,0,0.0,0,-49,5,54,49,True,,0,,,,,,3
82,82,0,,,,0,0,0,,,0.0,,,483,,,66,,0,0,0.0,,0.0,,2019-09-29T15:30:00Z,,,,0,,,9,0,,0,0,,0,7,0,618,,,,0,5,0.0,0,-32,12,44,48,False,,0,,,,,,3
83,83,0,,,,0,0,0,,,0.0,,,483,,,76,,0,0,0.0,,0.0,,2019-10-06T15:30:00Z,,,,0,,,12,0,,0,0,,0,8,0,601,,,,0,1,0.0,0,-20,10,30,48,True,,0,,,,,,3
84,84,0,,,,0,0,0,,,0.0,,,483,,,83,,0,0,0.0,,0.0,,2019-10-19T14:00:00Z,,,,0,,,6,0,,0,0,,0,9,0,594,,,,0,1,0.0,0,-18,11,29,48,False,,0,,,,,,3
85,85,0,,,,0,0,0,,,0.0,,,483,,,96,,0,0,0.0,,0.0,,2019-10-27T14:00:00Z,,,,0,,,20,0,,0,0,,0,10,0,592,,,,1,1,0.0,0,-8,8,16,48,True,,0,,,,,,3
86,86,0,,,,0,0,0,,,0.0,,,483,,,110,,0,0,0.0,,0.0,,2019-11-02T15:00:00Z,,,,0,,,19,0,,0,0,,0,11,0,580,,,,3,2,0.0,0,-17,11,28,48,False,,0,,,,,,3
87,87,0,,,,0,0,0,,,0.0,,,483,,,116,,0,0,0.0,,0.0,,2019-11-09T15:00:00Z,,,,0,,,3,0,,0,0,,0,12,0,579,,,,1,2,0.0,0,-7,7,14,48,True,,0,,,,,,3
88,88,0,,,,0,0,0,,,0.0,,,483,,,122,,0,0,0.0,,0.0,,2019-11-25T20:00:00Z,,,,0,,,2,0,,0,0,,0,13,0,578,,,,0,2,0.0,0,-5,12,17,48,False,,0,,,,,,3
89,89,0,,,,0,0,0,,,0.0,,,483,,,136,,0,0,0.0,,0.0,,2019-11-30T12:30:00Z,,,,0,,,11,0,,0,0,,0,14,0,571,,,,2,2,0.0,0,-9,7,16,48,True,,0,,,,,,3
90,90,0,,,,0,0,0,,,0.0,,,483,,,145,,0,0,0.0,,0.0,,2019-12-05T19:30:00Z,,,,0,,,15,0,,0,0,,0,15,0,570,,,,2,0,0.0,0,-2,3,5,48,False,,0,,,,,,3
91,91,0,,,,0,0,0,,,0.0,,,483,,,156,,0,0,0.0,,0.0,,2019-12-08T14:00:00Z,,,,0,,,16,0,,0,0,,0,16,0,570,,,,1,2,0.0,0,-5,8,13,48,True,,0,,,,,,3
92,92,0,,,,0,0,0,,,0.0,,,483,,,162,,0,0,0.0,,0.0,,2019-12-14T15:00:00Z,,,,0,,,5,0,,0,0,,0,17,0,566,,,,0,1,0.0,0,-6,7,13,48,False,,0,,,,,,3
93,93,0,,,,0,0,0,,,0.0,,,483,,,176,,0,0,0.0,,0.0,,2019-12-21T15:00:00Z,,,,0,,,7,0,,0,0,,0,18,0,568,,,,0,1,0.0,0,-3,4,7,48,True,,0,,,,,,3
94,94,0,,,,0,0,0,,,0.0,,,483,,,187,,0,0,0.0,,0.0,,2019-12-26T17:30:00Z,,,,0,,,12,0,,0,0,,0,19,0,568,,,,1,4,0.0,0,-3,5,8,48,False,,0,,,,,,3
95,95,0,,,,0,0,0,,,0.0,,,483,,,196,,0,0,0.0,,0.0,,2019-12-28T15:00:00Z,,,,0,,,8,0,,0,0,,0,20,0,568,,,,2,1,0.0,0,-2,2,4,48,True,,0,,,,,,3
96,96,0,,,,0,0,0,,,0.0,,,483,,,206,,0,0,0.0,,0.0,,2020-01-01T15:00:00Z,,,,0,,,9,0,,0,0,,0,21,0,573,,,,3,0,0.0,0,-1,9,10,48,True,,0,,,,,,3
97,97,0,,,,0,0,0,,,0.0,,,483,,,220,,0,0,0.0,,0.0,,2020-01-11T15:00:00Z,,,,0,,,20,0,,0,0,,0,22,0,572,,,,1,1,0.0,0,-2,9,11,48,False,,0,,,,,,3
98,98,0,,,,0,0,0,,,0.0,,,483,,,226,,0,0,0.0,,0.0,,2020-01-18T17:30:00Z,,,,0,,,6,0,,0,0,,0,23,0,571,,,,0,1,0.0,0,-5,9,14,48,True,,0,,,,,,3
99,99,0,,,,0,0,0,,,0.0,,,483,,,233,,0,0,0.0,,0.0,,2020-01-21T19:30:00Z,,,,0,,,8,0,,0,0,,0,24,0,568,,,,2,2,0.0,0,-4,3,7,48,False,,0,,,,,,3
100,100,0,,,,0,0,0,,,0.0,,,483,,,247,,0,0,0.0,,0.0,,2020-02-01T15:00:00Z,,,,0,,,14,0,,0,0,,0,25,0,569,,,,0,0,0.0,0,0,6,6,48,True,,0,,,,,,3
101,101,0,,,,0,0,0,,,0.0,,,483,,,251,,0,0,0.0,,0.0,,2020-02-16T16:30:00Z,,,,0,,,1,0,,0,0,,0,26,0,573,,,,0,4,0.0,0,1,3,2,48,False,,0,,,,,,3
102,102,0,,,,0,0,0,,,0.0,,,483,,,264,,0,0,0.0,,0.0,,2020-02-22T15:00:00Z,,,,0,,,7,0,,0,0,,0,27,0,568,,,,0,1,0.0,0,-6,5,11,48,False,,0,,,,,,3
103,103,0,,,,0,0,0,,,0.0,,,483,,,276,,0,0,0.0,,0.0,,2020-02-29T15:00:00Z,,,,0,,,5,0,,0,0,,0,28,0,566,,,,0,0,0.0,0,-2,2,4,48,True,,0,,,,,,3
